Catalog No,Reign Era,Reign Dates,Temple/Personal Name,Mint,Obverse Inscription,Description,Rarity (Hartill: lower=rarer),Entry Date,Book Page,PDF Page
22.20,Shunzhi,1644-1661,Shi Zu,"Board of Revenue (Boo-chiowan, Peking)",腹(顺)治通# Shun Zhi tong bao,Rev: 户 Iu above。 [02180 8,8,,282,2
22.21,Shunzhi,1644-1661,Shi Zu,"Board of Revenue (Boo-chiowan, Peking)",腹(顺)治通# Shun Zhi tong bao,Rev: 新 Jin above. New (?,,,282,2
22.22,Shunzhi,1644-1661,Shi Zu,"Board of Revenue (Boo-chiowan, Peking)",腹(顺)治通# Shun Zhi tong bao,Rev: 工 Gong Tight The,,,282,2
22.53,Shunzhi,1644-1661,Shi Zu,"Board of Revenue (Boo-chiowan, Peking)",旗(顺)治通赛 Shun Zhi tong bao,Rev: 工 Gong right The,,,283,3
22.71,Shunzhi,1644-1661,Shi Zu,"Board of Revenue (Boo-chiowan, Peking)",顺(顺)治通 Shun Zhi tong bao,Rev,,,284,4
22.10,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,Substantial coin nominal weight 1.6 qian. The $of 治 written as two strokes 13 Attributed to casting in Shenyang; before the Manchis captured Peking。 Nominal weight 1 qian,,,281,1
22.11,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,"Obv: One dot tong。 Rev: Plain。 TD2176,51359",6,,281,1
22.12,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,"Rer: Circle above。 卫D2177,51388 93 Rev: Crcezht 蕙",7,,281,1
22.13,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",,,,,281,1
22.14,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",,,,,281,1
22.15,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,Rev Ki (one) right。 002178,,,281,1
22.16,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,"Obv: Two dot tong. Rev: Plaln。 Type B. No mint names. 缶 Row bao。 Square head tong. Nominal weight 1.2 qian。 1645.46。 Cf20.333 similar Nling COTI Possibly from the Nanking minl。 02,11 Obv One dot tong。 Rev: Plain",,1645-46,281,1
22.18,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,"Obv: Two dot tong。 14 One dol tong coins can be attributed to the Board Ol Revente minl, and two dot tOnE couns to the Board ol Worhs by Uirtue of their relatie frequency; comparisons with Chong Zhen coins (eg 20.266 and 20.269) are problematic as one /two dot tOnB Was Tot consistently tsed by each Board for these",,,281,1
22.19,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",腹(顺)治通# Shun Zhi tong bao,Rev: 户 Hu right. The,,,282,2
22.23,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",腹(顺)治通# Shun Zhi tong bao,Rev: 工 Gong above T02182 翌,2,,282,2
22.24,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,,,,282,2
22.34,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通| Shun Zhi tong bao,,,,282,2
22.54,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",旗(顺)治通赛 Shun Zhi tong bao,Rev: Ru right,,,283,3
22.72,Shunzhi,1644-1661,Shi Zu,"Board of Works (Boo-yuwan, Peking)",顺(顺)治通 Shun Zhi tong bao,Rev: He left; 河 He right,,,284,4
22.38,Shunzhi,1644-1661,Shi Zu,"Datong, Shanxi",腹(顺)治通# Shun Zhi tong bao,Rev; 原 Yuan right,,,282,2
22.79,Shunzhi,1644-1661,Shi Zu,"Datong, Shanxi",(顺)治通l Shun Zhi tong bao,Rev: Yuwan left 原 Yian,,,285,5
22.25,Shunzhi,1644-1661,Shi Zu,"Fuzhou, Fujian",腹(顺)治通# Shun Zhi tong bao,Rev: 河 He Lght,,,282,2
22.55,Shunzhi,1644-1661,Shi Zu,"Fuzhou, Fujian",旗(顺)治通赛 Shun Zhi tong bao,Rev: 河 He right,,,283,3
22.45,Shunzhi,1644-1661,Shi Zu,"Hangzhou, Zhejiang",旗(顺)治通赛 Shun Zhi tong bao,Rev: 浙 Zhe Rght。 One dot tong,,,283,3
22.46,Shunzhi,1644-1661,Shi Zu,"Hangzhou, Zhejiang",旗(顺)治通赛 Shun Zhi tong bao,"Rev Zhe above. One dot tong p02209,51379",,,283,3
22.47,Shunzhi,1644-1661,Shi Zu,"Hangzhou, Zhejiang",旗(顺)治通赛 Shun Zhi tong bao,Rev: Jnght. Jizhou,,,283,3
22.68,Shunzhi,1644-1661,Shi Zu,"Hangzhou, Zhejiang",顺(顺)治通 Shun Zhi tong bao,"Rev: 蓟 Jiright. Jizhou garrison; Zhil。 [02226,51399 岛",,,284,4
22.69,Shunzhi,1644-1661,Shi Zu,"Hangzhou, Zhejiang",顺(顺)治通 Shun Zhi tong bao,Rev: 宣 Juan Iight,,,284,4
22.35,Shunzhi,1644-1661,Shi Zu,"Jinan, Shandong",腹(顺)治通# Shun Zhi tong bao,Rev: 醢(临) Lin right,,,282,2
22.61,Shunzhi,1644-1661,Shi Zu,"Jinan, Shandong",顺(顺)治通 Shun Zhi tong bao,"Rev: 随(临) Lin right: Linqing garrison Shandong: 卫02222,51396",2,,284,4
22.62,Shunzhi,1644-1661,Shi Zu,"Jinan, Shandong",顺(顺)治通 Shun Zhi tong bao,Rev: 同 Tong right. Datong,,,284,4
22.77,Shunzhi,1644-1661,Shi Zu,"Jinan, Shandong",(顺)治通l Shun Zhi tong bao,"Rev: Lin left, 酶(临) Lin right。 garrigon; Shandong: 卫02239,51410",9,,285,5
22.78,Shunzhi,1644-1661,Shi Zu,"Jinan, Shandong",(顺)治通l Shun Zhi tong bao,Rev: Tung left Tong right,,,285,5
22.28,Shunzhi,1644-1661,Shi Zu,"Jingzhou, Hubei",腹(顺)治通# Shun Zhi tong bao,"Rev: 荆 Jing above 02201,81375 8",8,,282,2
22.29,Shunzhi,1644-1661,Shi Zu,"Jingzhou, Hubei",腹(顺)治通# Shun Zhi tong bao,Rev: Chang above,,,282,2
22.83,Shunzhi,1644-1661,Shi Zu,"Jizhou, Zhili",(顺)治通l Shun Zhi tong bao,Rev: Slowan left 宣 Kuan right,,,285,5
22.26,Shunzhi,1644-1661,Shi Zu,"Kaifeng, Henan",腹(顺)治通# Shun Zhi tong bao,"Rev: 诃 Te above 卫02184,51364 10",4,,282,2
22.27,Shunzhi,1644-1661,Shi Zu,"Kaifeng, Henan",腹(顺)治通# Shun Zhi tong bao,Rev: 荆 Jing right,,,282,2
22.58,Shunzhi,1644-1661,Shi Zu,"Kaifeng, Henan",旗(顺)治通赛 Shun Zhi tong bao,One dot tong,,,283,3
22.73,Shunzhi,1644-1661,Shi Zu,"Kaifeng, Henan",顺(顺)治通 Shun Zhi tong bao,"Rev: Chang left; 昌 Chang right. Wuchang; Iubei。 卫02244,51415",4,,284,4
22.74,Shunzhi,1644-1661,Shi Zu,"Kaifeng, Henan",顺(顺)治通 Shun Zhi tong bao,"Rev: Ning left, 犟(宁) Ning right.Jiangning (Nanking) 15 R02246,51417",,,284,4
22.75,Shunzhi,1644-1661,Shi Zu,"Kaifeng, Henan",(顺)治通l Shun Zhi tong bao,Rev left; 迂 Jiang rght,,,285,5
22.67,Shunzhi,1644-1661,Shi Zu,"Kunming, Yunnan",顺(顺)治通 Shun Zhi tong bao,Rev: 浙 Zhe right,,,284,4
22.36,Shunzhi,1644-1661,Shi Zu,"Linqing, Shandong",腹(顺)治通# Shun Zhi tong bao,"Rev: 晾(临) Lin above_ TD2188,81366",8,,282,2
22.37,Shunzhi,1644-1661,Shi Zu,"Linqing, Shandong",腹(顺)治通# Shun Zhi tong bao,Rev: Tong right,,,282,2
22.50,Shunzhi,1644-1661,Shi Zu,"Miyun, Zhili",旗(顺)治通赛 Shun Zhi tong bao,"Rev: 宣 Xuan right. Kuanhua Barrison, Zhil. Opened in 1644 TD2190,51367",0,,283,3
22.51,Shunzhi,1644-1661,Shi Zu,"Miyun, Zhili",旗(顺)治通赛 Shun Zhi tong bao,"Rev: 宜 Juan above 下02189,81368 Type D.Rev: 一厘 Yili (One li [of silver]) left. Mint name i Chinese right. 1653-57",,1653-57,283,3
22.52,Shunzhi,1644-1661,Shi Zu,"Miyun, Zhili",旗(顺)治通赛 Shun Zhi tong bao,Rev: 户 Hu right The,,,283,3
22.60,Shunzhi,1644-1661,Shi Zu,"Nanchang, Jiangxi",旗(顺)治通赛 Shun Zhi tong bao,Rev: 束(东) Dong Ught,,,283,3
22.76,Shunzhi,1644-1661,Shi Zu,"Nanchang, Jiangxi",(顺)治通l Shun Zhi tong bao,Rev: agge 柬(东) Dong aghhqn,,,285,5
22.63,Shunzhi,1644-1661,Shi Zu,Shanxi (unnamed garrison),顺(顺)治通 Shun Zhi tong bao,"Rev: 原 Yuan right Taiyuan, Shamxi。 T02223,51397",3,,284,4
22.64,Shunzhi,1644-1661,Shi Zu,Shanxi (unnamed garrison),顺(顺)治通 Shun Zhi tong bao,Rev: 隅(阳) Yang right. Yanghe,,,284,4
22.65,Shunzhi,1644-1661,Shi Zu,Shanxi (unnamed garrison),顺(顺)治通 Shun Zhi tong bao,Rev: 陕 Shan right,,,284,4
22.39,Shunzhi,1644-1661,Shi Zu,"Taiyuan, Shanxi",腹(顺)治通# Shun Zhi tong bao,"Rev: 原 Yuan above。 TD2196,51371 10 Opened in 1645, with 10 furnaces in Shang Ma Street",6,,282,2
22.40,Shunzhi,1644-1661,Shi Zu,"Taiyuan, Shanxi",旗(顺)治通赛 Shun Zhi tong bao,Rev: Q Yang right,,,283,3
22.43,Shunzhi,1644-1661,Shi Zu,"Taiyuan, Shanxi",腹(顺)治通# Shun Zhi tong bao,,,,283,3
22.44,Shunzhi,1644-1661,Shi Zu,"Taiyuan, Shanxi",腹(顺)治通# Shun Zhi tong bao,,,,283,3
22.56,Shunzhi,1644-1661,Shi Zu,"Taiyuan, Shanxi",腹(顺)治通# Shun Zhi tong bao,,,,283,3
22.57,Shunzhi,1644-1661,Shi Zu,"Taiyuan, Shanxi",腹(顺)治通# Shun Zhi tong bao,,,,283,3
22.59,Shunzhi,1644-1661,Shi Zu,"Taiyuan, Shanxi",腹(顺)治通# Shun Zhi tong bao,"22,.60 Bmperor Shi 2u",,,283,3
22.80,Shunzhi,1644-1661,Shi Zu,"Taiyuan, Shanxi",(顺)治通l Shun Zhi tong bao,"Rev: Shan left; 陕 Shan rightXi'an, Shaanai 卫02245,51416",5,,285,5
22.81,Shunzhi,1644-1661,Shi Zu,"Taiyuan, Shanxi",(顺)治通l Shun Zhi tong bao,"Rev; Je left, 断 Zhe right Hangzhou Zheiiang。 [02237,81408",,,285,5
22.82,Shunzhi,1644-1661,Shi Zu,"Taiyuan, Shanxi",(顺)治通l Shun Zhi tong bao,Rev: GI left。 Jiright,,,285,5
22.30,Shunzhi,1644-1661,Shi Zu,"Wuchang, Hubei",腹(顺)治通# Shun Zhi tong bao,Rev: 襄 Kiang above,,,282,2
22.66,Shunzhi,1644-1661,Shi Zu,"Xi'an, Shaanxi",顺(顺)治通 Shun Zhi tong bao,Rev (云) Yun right Yunnan-fu (,,,284,4
22.31,Shunzhi,1644-1661,Shi Zu,"Xiangyang, Hubei",腹(顺)治通# Shun Zhi tong bao,"Rev: M(宁) Ning above, Two dot tong. Jiangning (Nanking) TD2205,81377 氽",5,,282,2
22.32,Shunzhi,1644-1661,Shi Zu,"Xiangyang, Hubei",腹(顺)治通# Shun Zhi tong bao,"One dot tong。 TTue minl was ordered Lo open in 1648, bul does not appear to hawe done so immediately",,,282,2
22.33,Shunzhi,1644-1661,Shi Zu,"Xiangyang, Hubei",腹(顺)治通# Shun Zhi tong bao,Rev: 束(东) Dong right,,,282,2
22.70,Shunzhi,1644-1661,Shi Zu,"Xuanhua, Zhili",顺(顺)治通 Shun Zhi tong bao,Rev,,,284,4
22.84,Shunzhi,1644-1661,Shi Zu,"Xuanhua, Zhili",(顺)治通l Shun Zhi tong bao,"Rev: Si left, 西 Riright. West Variously attribuled to Shanni Wu Sangui (the 平酉王 Ping N Tang Pacilying lhe West Prince), or else an inlention for use Os a gaming token。 Kangxi。 The lustrious sixty-one year reign Of @m' was characterised ota"" One noted scholar as show. ""Diligence i administration; CONCCII the people, and of thought Manchu 郄 was gecured and China became stable and prosperous。 In 1679, he conquered Eastern Turkestan He suppressed the eight-year rebellon of the Three Feudatories (San Ran) in 1681, and Taiwan was takenin 1683 In the lirst year of the reign 1662, the provincial mints were Closed agamn, apart from Jiangning. Erom 1667, provncial mints were re-opened, but many closed agamn in 1670 due to the Wgh price of copper; Those whose responsibility 计 is to buy copper and transport it to the Boards are al unable to send i in tume; because copper is now scarce and expensive. Although the pnce O[ copper rises daily, the Board Stll calculates according to a Gxed price, For example, the 721,000 newly cast cash of Guangdong are worth 721 hang of silver。 According to the regulations; they can charge only 593 liang TT casting expenses; and proht 0[ 128 liang results。 But 让 one uses the current local copper pnce and the expenses in wages; the actual costs were 1,043 liang。 Deducting what the regulations allow , the mint offcials actually suffered loss of 450 liang。 In 1684,the ofhcial coin weight was reduced to 10 qian, and the copper content reduced trom 70% to 60%. Jt appears that around this time corrwption set 血 and the Pelng mints cast a great dealof Bmal cash With a weight as low as 0.7 qian. Te provinces wvere ordered to start casting agamn, but many only Drod uced smal coins, and all were closed again by 1702. In this year, the weight of the cash ofthe Peking mints was increased to 1.4 qian, and the corruption held in check",,,285,5
22.41,Shunzhi,1644-1661,Shi Zu,"Yanghe, Shanxi",旗(顺)治通赛 Shun Zhi tong bao,"Rev: 隅 above。 002214,51384",,,283,3
22.42,Shunzhi,1644-1661,Shi Zu,"Yanghe, Shanxi",旗(顺)治通赛 Shun Zhi tong bao,"Rev: 延 Yan ""醴",,,283,3
22.48,Shunzhi,1644-1661,Shi Zu,Zhili (unnamed garrison),旗(顺)治通赛 Shun Zhi tong bao,Rev: Jabove [02191,,,283,3
22.49,Shunzhi,1644-1661,Shi Zu,Zhili (unnamed garrison),旗(顺)治通赛 Shun Zhi tong bao,Rev: 云 Yun rght,,,283,3
22.85,Kangxi,1662-1722,Sheng Zu,"Board of Revenue (Boo-chiowan, Peking)",康熙通寅 Kang Ki tong bao,"Seven stroke bei, two dot tong. Nominal weight 1.4 qian。 1662-83 p02250,51419 16",16,1662-83,286,6
22.86,Kangxi,1662-1722,Sheng Zu,"Board of Revenue (Boo-chiowan, Peking)",康熙通寅 Kang Ki tong bao,Nominal weight TOT 1684.1701 16,4,1684-1701,286,6
22.87,Kangxi,1662-1722,Sheng Zu,"Board of Revenue (Boo-chiowan, Peking)",康熙通寅 Kang Ki tong bao,Small crude coins. Two dot tong. Actual weight ~0.7 qian。 1680s-90s。 16,,,286,6
22.88,Kangxi,1662-1722,Sheng Zu,"Board of Revenue (Boo-chiowan, Peking)",康熙通寅 Kang Ki tong bao,One dot 16,,,286,6
22.89,Kangxi,1662-1722,Sheng Zu,"Board of Revenue (Boo-chiowan, Peking)",康熙通寅 Kang Ki tong bao,Square ton: long。 16,,,286,6
22.90,Kangxi,1662-1722,Sheng Zu,"Board of Revenue (Boo-chiowan, Peking)",康熙通寅 Kang Ki tong bao,"Six stroke bei, left hand stroke of Xi curved. Nominal weight 1.4 qian. 1702-12_ 15",,,286,6
22.91,Kangxi,1662-1722,Sheng Zu,"Board of Revenue (Boo-chiowan, Peking)",康熙通寅 Kang Ki tong bao,"One dot tong; Ki as printed character Do left Jown stroke. 1713 51443 14 Schjoth repeats the mylh that Brew UPregarding this coin: They are comnonly Rnown as the It han cash and are sought after by the Chinese; Ihe word Lohan being the transcript in Chinese characters O the San skril word arhan `venerable Uhe name applied to the eighteen attendants Oj Buddha, which are frequenll SCen ranged along the tWO sides Of the principal hall a Buddhist lemples The currenl tradilion Vhal, while the Emperor was intimately associaled wilh the Buropean missionaries; he became imbued wilh a Jeel ingO contempt for Buddhism and illustrated (his Brass 讥 hig foith by having 0 sel O[ eighteen brass Lo-han Images melted dotun and cast into cash。 This t said to conlain a considerable portion OT Bold hence the great demand for the cash。 This story first appeared in Chinese SOUTCC (几 1851; perhaps they conlused (his coin wilh Uhe `Bun"" Kuanei sen a Japan, aboul which a similar storyis told。 Burger has shown that the new form Of the xi character was specially created for Kangri's GOth burthdav in 1773, Lhe Cash WOS cast to celebrate that auspiciots occasion, and is itself regarded as auspicious。 Analy S15 has shown that these coins do not contain any gold The none LO: han cash persists",,,286,6
22.92,Kangxi,1662-1722,Sheng Zu,"Board of Revenue (Boo-chiowan, Peking)",康熙通寅 Kang Ki tong bao,"Broad rims. One dot tong;, Ki with left hand stroke。 1714-22 14 The Board o[ Works. Rev",,1714-22,286,6
22.93,Kangxi,1662-1722,Sheng Zu,"Board of Works (Boo-yuwan, Peking)",康熙通寅 Kang Ki tong bao,"Seven stroke bei, two dot tong. Nominal weight 1.4 qian。 1662-83.FD2251,51421 16",1,1662-83,286,6
22.94,Kangxi,1662-1722,Sheng Zu,"Board of Works (Boo-yuwan, Peking)",康熙通寅 Kang Ki tong bao,Nominal weight qOn。 1684.1701. 16,16,1684-1701,286,6
22.95,Kangxi,1662-1722,Sheng Zu,"Board of Works (Boo-yuwan, Peking)",康熙通寅 Kang Ki tong bao,Small crude coin Actual weight ~0.7 qlan。 1680s.905,,,286,6
22.96,Kangxi,1662-1722,Sheng Zu,"Board of Works (Boo-yuwan, Peking)",康熙通寅 Kang Ki tong bao,Sax stroke bei。 Nominal weight 1.4 qian。 1702.13。 詈,,1702-13,286,6
22.97,Kangxi,1662-1722,Sheng Zu,"Board of Works (Boo-yuwan, Peking)",康熙通寅 Kang Ki tong bao,Seven stroke bei. Broad rimg 1714-22,,1714-22,286,6
22.152,Kangxi,1662-1722,Sheng Zu,"Board of Works (Boo-yuwan, Peking)",爽熙通d Kang Ji tong bao,,,,292,12
22.157,Kangxi,1662-1722,Sheng Zu,"Board of Works (Boo-yuwan, Peking)",爽熙通d Kang Ji tong bao,,,,292,12
22.115,Kangxi,1662-1722,Sheng Zu,"Changsha, Hunan",康熙通寰 Kang Xi tong bao,"One dot tong: Nominal weight 1.4 qian。 1667.70。 卫02262,51435 11",2,1667-70,288,8
22.116,Kangxi,1662-1722,Sheng Zu,"Changsha, Hunan",康熙通寰 Kang Xi tong bao,Two dot long. Nan in printed style. Nominal weight 1.0 qian. 1684-1700_ 15,,,288,8
22.117,Kangxi,1662-1722,Sheng Zu,"Changsha, Hunan",康熙通寰 Kang Xi tong bao,Nan in cursive style。 1684.1700 15,15,1684-1700,288,8
22.118,Kangxi,1662-1722,Sheng Zu,"Changsha, Hunan",康熙通寰 Kang Xi tong bao,"Rev: Crescent above, dot below_ 1684-1700. 81447 Jiangning (Nanking). Rev: Ning left, (宁) Ning right",,1684-1700,288,8
22.119,Kangxi,1662-1722,Sheng Zu,"Changsha, Hunan",康熙通寰 Kang Xi tong bao,"Square head tong。 1662.70. 卫02234,51433 15 Se driangning mint was nofclosed in 1668 like te Olher provincial mints as i was an iportant mililary STOTOI",4,1662-70,288,8
22.101,Kangxi,1662-1722,Sheng Zu,"Gongchang, Gansy",康熙逦l Kang Ki tong bao,"Rev; Gung left, 犟(巩) Gong right。 1667.70。 卫D2272",2,1667-70,287,7
22.102,Kangxi,1662-1722,Sheng Zu,"Guangzhou, Guangdong",康熙逦l Kang Ki tong bao,"Nominal weight 1.4 qian, diam。 over 2Gmm 1668.70",,1668-70,287,7
22.103,Kangxi,1662-1722,Sheng Zu,"Guangzhou, Guangdong",康熙逦l Kang Ki tong bao,"Nominal weight 1.0 qian, diam。 under 2Gmm, local workmanship. 1686-1703。 下02265,51436 15",15,1686-1703,287,7
22.104,Kangxi,1662-1722,Sheng Zu,"Guangzhou, Guangdong",康熙逦l Kang Ki tong bao,"Different top of Guang。 15 In 1686,4 nint was brefly in operation at Zhaoqing in the province, also using this mint name",,,287,7
22.105,Kangxi,1662-1722,Sheng Zu,"Guilin, Guangxi",康熙逦l Kang Ki tong bao,"Nominal weight 1.4 qian。 1668.70 卫D2268,81439",8,1668-70,287,7
22.137,Kangxi,1662-1722,Sheng Zu,"Hangzhou, Zhejiang",康熙通舜 Kang Ki tong bao,"Two dot tong: Nominal weight 1.4 qian. Diam over 2Gmm。 1667-74.卫02266,51437 15",6,1667-74,290,10
22.138,Kangxi,1662-1722,Sheng Zu,"Hangzhou, Zhejiang",康熙通舜 Kang Ki tong bao,"One dot tong. Nominal weight 1.0 qian. Diam. under 26""皿。1696-99 14",14,1696-99,290,10
22.139,Kangxi,1662-1722,Sheng Zu,"Hangzhou, Zhejiang",康熙通舜 Kang Ki tong bao,One dot tong. Rev; Dot above。 1696-99。 10,10,1696-99,290,10
22.123,Kangxi,1662-1722,Sheng Zu,"Jinan, Shandong",展熙通畿 Kang Li tong bao,"Rev: Dung left, 束(东) Dong right。 1667-70。 卫02225,51426 15",5,1667-70,289,9
22.140,Kangxi,1662-1722,Sheng Zu,"Jizhou, Zhili",爽熙通d Kang Ji tong bao,"Rev: Gi left, l Jiright。 1667.70",,1667-70,291,11
22.107,Kangxi,1662-1722,Sheng Zu,"Kaifeng, Henan",康熙逦l Kang Ki tong bao,"Square head, one dot tong。 1667-70。 p02263,51434 15 There is 0 possibility that this coin TUOS made in 1663, before the order to close the niinls VOS Teceived。 Of?2.73, which has a similar square head",,1667-70,287,7
22.109,Kangxi,1662-1722,Sheng Zu,"Kaifeng, Henan",康熙逦l Kang Ki tong bao,"Closed head, two dot tong。 1667.70. 13",13,1667-70,287,7
22.124,Kangxi,1662-1722,Sheng Zu,"Linqing, Shandong",展熙通畿 Kang Li tong bao,"Rev: Lin left, 醢(临) Lin right。 1667-75. 卫02264,51425 15 In 1673, the Board o1 Revenue allowed Linqing to another 5 li for freight charges in addilion lo Ihe fed price of 6 fen 5 1 (of silver) for a jn O[ copper, ghargespno bul (his concession, (he minl was closed In 1675 Datong",4,1667-75,289,9
22.121,Kangxi,1662-1722,Sheng Zu,"Nanchang, Jiangxi",展熙通畿 Kang Li tong bao,"One dot tong。 1667-70。 卫02256,51427 15",6,1667-70,289,9
22.122,Kangxi,1662-1722,Sheng Zu,"Nanchang, Jiangxi",展熙通畿 Kang Li tong bao,Two dot tong。 1667.70。 13,13,1667-70,289,9
22.98,Kangxi,1662-1722,Sheng Zu,"Ruzhou, Fujian",康熙逦l Kang Ki tong bao,"Two dot tong: Nominal weight 1.4 qian, diam. over 2Gmm。1667-70.FD2253,51424",3,1667-70,287,7
22.99,Kangxi,1662-1722,Sheng Zu,"Ruzhou, Fujian",康熙逦l Kang Ki tong bao,"One dot long. Nominal weight 1.0 qian diam. under 2Gmm 1685-95. 器 器22: Fujian。 Rev: Jang left, 淬 Zhang right。 1680-83 R2271,51442 15",15,1685-95,287,7
22.125,Kangxi,1662-1722,Sheng Zu,Shanxi (unnamed garrison),展熙通畿 Kang Li tong bao,"Rev; Tung left 同 Tong right。 1667.71。 卫2252,51423 15",2,1667-71,289,9
22.120,Kangxi,1662-1722,Sheng Zu,"Suzhou, Jiangsu",康熙通寰 Kang Xi tong bao,"Rev: Su left, 藓(苏) Su right。 1668-70。 卫02259,81430 15",9,1668-70,288,8
22.126,Kangxi,1662-1722,Sheng Zu,"Taiyuan, Shanxi",展熙通畿 Kang Li tong bao,"Square head one dot tong。 1667.70 RD2258,51429 15",8,1667-70,289,9
22.127,Kangxi,1662-1722,Sheng Zu,"Taiyuan, Shanxi",展熙通畿 Kang Li tong bao,"Closed head, two dot long。 1667.70。 15",15,1667-70,289,9
22.110,Kangxi,1662-1722,Sheng Zu,"Wuchang, Hubei",康熙通寰 Kang Xi tong bao,Closed head one dot tong; Chang 边 cursive style。 1667-70。 81432 15,15,1667-70,288,8
22.112,Kangxi,1662-1722,Sheng Zu,"Wuchang, Hubei",康熙通寰 Kang Xi tong bao,"15 Square head, one dot tong; Chang in printed style。 1667.70 卫02261",1,1667-70,288,8
22.113,Kangxi,1662-1722,Sheng Zu,"Wuchang, Hubei",康熙通寰 Kang Xi tong bao,"Closed head, two dot tong: Nominal weight 1 qian。 1687.99. 35",,1687-99,288,8
22.114,Kangxi,1662-1722,Sheng Zu,"Wuchang, Hubei",康熙通寰 Kang Xi tong bao,"Protruding head, two dot tong 1687-99 15 In 1697, the Board O[ Revenue reprimanded Hubei (and Hunan) for producing red coloured coins that were not fit for Ise, and ordered them to collect up the Offending coins. Iis stricture could apply to most Qing period Hubei coirs",,1687-99,288,8
22.128,Kangxi,1662-1722,Sheng Zu,"Xi'an, Shaanxi",展熙通畿 Kang Li tong bao,"Rev: Dot by -nof Shan。 1667.70 p02269,51440 15",15,1667-70,289,9
22.129,Kangxi,1662-1722,Sheng Zu,"Xi'an, Shaanxi",展熙通畿 Kang Li tong bao,"Rev: No dot by Shan。 1667.70, 15",15,1667-70,289,9
22.130,Kangxi,1662-1722,Sheng Zu,"Xi'an, Shaanxi",展熙通畿 Kang Li tong bao,"Taiwan。 Rev;: Tai left, Tai 赛(台) right 1689.92 下D2267,51438 13 Towwlan was in rebel hands unlil 1683.41 Ulal tinze, coins O[ the pretender Prince Yongming were in general USC These Were collected up and melted down。 The Kangti coin Uas casl althe ] Gian Wveighi standard。 Larger coins are later made",7,1689-92,289,9
22.131,Kangxi,1662-1722,Sheng Zu,"Xi'an, Shaanxi",康熙通舜 Kang Ki tong bao,"Nominal weight 1.4 qian, diameter over 2Gmm 1667.70 p2270,81441 12 Type 2. The 丰 component Of kang written with the bottom horizontal stroke protruding 3_ Nominal weight 1.0 qian, diameter under 26皿皿",,1667-70,290,10
22.132,Kangxi,1662-1722,Sheng Zu,"Xi'an, Shaanxi",康熙通舜 Kang Ki tong bao,"The lnes j the middle of the 雨 component of yun written like X 1682.89。 14 Type 3. The 丰 component of Rang written with the middle horizontal stroke protruding 3- Nominal weight 1.0 qian, diameter under 26皿皿。 25.133 Wide head of tong; dots ofzi not on rim 1682.89",,1682-89,290,10
22.133,Kangxi,1662-1722,Sheng Zu,"Xi'an, Shaanxi",展熙通畿 Kang Li tong bao,,,,290,10
22.134,Kangxi,1662-1722,Sheng Zu,"Xi'an, Shaanxi",康熙通舜 Kang Ki tong bao,"Small head of tong; yun touching the rim 1682.89. 1682-89。 """,,1682-89,290,10
22.135,Kangxi,1662-1722,Sheng Zu,"Xi'an, Shaanxi",康熙通舜 Kang Ki tong bao,"Small head of tong, yun wellaway from the rim 25.136 Smaller characters; yun well away from the rim 1682.89。 Between 1674 and 1681, the province WOS 讥 the hands Of the San Fan rebel Wu Sangui, and then his grandson Wu Shifan, who issued their own coins。 By 1683, Uhe Yunnan fu minl was back 讥 operation cast V吕 Rangwi coins and in the same year minls al Dali, Lufeng and Mengzi were opened, all ol which were Or dered to use the yun mint name. In 1685, the Lin an minl Was opened; which also used the yUn min name。 In 1689, Yunnan stopped casting temporarily, Qg there was a surplus O[ cash Coins O[ this second period can be distinguished by the different writing Of the 雨 component O[yun, in which Ihe four lines in the middlenre arranged in the form ofa cross; as Iell as by their lower weighl。 However, Ihere is To ObUious prwy mark that distinguishes one mint from another",,1682-89,290,10
22.136,Kangxi,1662-1722,Sheng Zu,"Xi'an, Shaanxi",展熙通畿 Kang Li tong bao,郾,,,290,10
